Architecture: alexnet
=> loading checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar'
=> loaded checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar' (epoch 84)
Load dataset: 11.76 s
Compute features
304 / 5005	Time: 0.067 (15.618)
305 / 5005	Time: 0.043 (15.567)
306 / 5005	Time: 0.055 (15.516)
307 / 5005	Time: 1.183 (15.470)
308 / 5005	Time: 0.305 (15.421)
309 / 5005	Time: 0.042 (15.371)
310 / 5005	Time: 21.844 (15.392)
311 / 5005	Time: 0.050 (15.343)
312 / 5005	Time: 0.067 (15.294)
313 / 5005	Time: 0.046 (15.245)
314 / 5005	Time: 0.046 (15.197)
315 / 5005	Time: 0.041 (15.149)
316 / 5005	Time: 0.044 (15.101)
317 / 5005	Time: 0.047 (15.054)
318 / 5005	Time: 0.044 (15.007)
319 / 5005	Time: 0.057 (14.960)
320 / 5005	Time: 0.053 (14.914)
321 / 5005	Time: 0.052 (14.868)
322 / 5005	Time: 0.053 (14.822)
323 / 5005	Time: 0.052 (14.776)
324 / 5005	Time: 0.055 (14.731)
325 / 5005	Time: 0.049 (14.686)
326 / 5005	Time: 0.051 (14.641)
327 / 5005	Time: 0.048 (14.597)
328 / 5005	Time: 0.050 (14.552)
329 / 5005	Time: 0.052 (14.509)
330 / 5005	Time: 0.044 (14.465)
331 / 5005	Time: 0.047 (14.421)
332 / 5005	Time: 0.059 (14.378)
333 / 5005	Time: 0.046 (14.335)
334 / 5005	Time: 0.055 (14.293)
335 / 5005	Time: 1.641 (14.255)
336 / 5005	Time: 0.220 (14.213)
337 / 5005	Time: 0.064 (14.172)
338 / 5005	Time: 0.053 (14.130)
339 / 5005	Time: 0.321 (14.089)
340 / 5005	Time: 0.039 (14.048)
341 / 5005	Time: 0.047 (14.007)
342 / 5005	Time: 0.179 (13.967)
343 / 5005	Time: 0.040 (13.926)
344 / 5005	Time: 0.039 (13.886)
345 / 5005	Time: 0.039 (13.846)
346 / 5005	Time: 0.044 (13.806)
347 / 5005	Time: 1.923 (13.772)
348 / 5005	Time: 0.063 (13.733)
349 / 5005	Time: 0.244 (13.694)
350 / 5005	Time: 0.374 (13.656)
351 / 5005	Time: 0.056 (13.618)
352 / 5005	Time: 0.054 (13.579)
353 / 5005	Time: 0.043 (13.541)
354 / 5005	Time: 0.041 (13.503)
355 / 5005	Time: 0.109 (13.465)
356 / 5005	Time: 0.042 (13.428)
357 / 5005	Time: 0.047 (13.390)
358 / 5005	Time: 0.064 (13.353)
359 / 5005	Time: 1.738 (13.321)
360 / 5005	Time: 0.089 (13.284)
361 / 5005	Time: 0.079 (13.248)
362 / 5005	Time: 0.416 (13.213)
363 / 5005	Time: 0.055 (13.176)
364 / 5005	Time: 0.060 (13.141)
365 / 5005	Time: 0.059 (13.105)
366 / 5005	Time: 0.069 (13.069)
367 / 5005	Time: 0.193 (13.034)
368 / 5005	Time: 0.053 (12.999)
369 / 5005	Time: 0.043 (12.964)
370 / 5005	Time: 0.048 (12.929)
371 / 5005	Time: 1.436 (12.898)
372 / 5005	Time: 1.138 (12.867)
373 / 5005	Time: 0.042 (12.833)
374 / 5005	Time: 0.043 (12.798)
375 / 5005	Time: 0.040 (12.765)
376 / 5005	Time: 0.040 (12.731)
377 / 5005	Time: 0.040 (12.697)
378 / 5005	Time: 0.752 (12.666)
379 / 5005	Time: 0.042 (12.632)
380 / 5005	Time: 0.047 (12.599)
381 / 5005	Time: 0.041 (12.567)
382 / 5005	Time: 0.046 (12.534)
383 / 5005	Time: 0.461 (12.502)
384 / 5005	Time: 1.194 (12.473)
385 / 5005	Time: 0.040 (12.441)
386 / 5005	Time: 0.048 (12.409)
387 / 5005	Time: 0.106 (12.377)
388 / 5005	Time: 0.038 (12.345)
389 / 5005	Time: 0.037 (12.314)
390 / 5005	Time: 0.658 (12.284)
391 / 5005	Time: 0.063 (12.253)
392 / 5005	Time: 0.056 (12.222)
393 / 5005	Time: 0.039 (12.191)
394 / 5005	Time: 0.041 (12.160)
395 / 5005	Time: 0.105 (12.130)
396 / 5005	Time: 1.267 (12.102)
397 / 5005	Time: 0.045 (12.072)
